Record Length,Analog:10000
Sample Interval,5.000000E-04
Vertical Units,V,
Vertical Scale,+1.000000E-01
Vertical Offset,+6.666667E-03
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
+6.6419760479E-02,+7.375000E-02
+6.6919760479E-02,-1.266667E-01
+6.7419760479E-02,-6.125000E-02
+6.7919760479E-02,-3.354167E-02
+6.8419760479E-02,+3.187500E-02
+6.8919760479E-02,+1.737500E-01
+6.9419760479E-02,-3.125000E-02
+6.9919760479E-02,-1.100000E-01
+7.0419760479E-02,-4.062500E-02
+7.0919760479E-02,-2.104167E-02
+7.1419760479E-02,+7.833333E-02
+7.1919760479E-02,+1.510417E-01
+7.2419760479E-02,-1.035417E-01
+7.2919760479E-02,-8.270834E-02
+7.3419760479E-02,-4.020834E-02
+7.3919760479E-02,+1.875000E-03
+7.4419760479E-02,+1.364583E-01
+7.4919760479E-02,+6.229167E-02
+7.5419760479E-02,-1.208333E-01
+7.5919760479E-02,-5.500000E-02
+7.6419760479E-02,-3.541667E-02
+7.6919760479E-02,+3.541667E-02
+7.7419760479E-02,+1.735417E-01
+7.7919760479E-02,-3.895833E-02
+7.8419760479E-02,-1.052083E-01
+7.8919760479E-02,-4.562500E-02
+7.9419760479E-02,-2.208333E-02
+7.9919760479E-02,+8.354167E-02
+8.0419760479E-02,+1.425000E-01
+8.0919760479E-02,-9.916667E-02
+8.1419760479E-02,-7.520834E-02
+8.1919760479E-02,-4.416667E-02
+8.2419760479E-02,+1.666667E-03
+8.2919760479E-02,+1.389583E-01
+8.3419760479E-02,+5.312500E-02
+8.3919760479E-02,-1.145833E-01
+8.4419760479E-02,-5.375000E-02
+8.4919760479E-02,-3.979167E-02
+8.5419760479E-02,+3.812500E-02
+8.5919760479E-02,+1.697917E-01
+8.6419760479E-02,-3.687500E-02
+8.6919760479E-02,-9.729167E-02
+8.7419760479E-02,-4.729167E-02
+8.7919760479E-02,-2.479167E-02
+8.8419760479E-02,+8.604167E-02
+8.8919760479E-02,+1.318750E-01
+8.9419760479E-02,-9.604167E-02
+8.9919760479E-02,-7.166667E-02
+9.0419760479E-02,-4.625000E-02
+9.0919760479E-02,+2.083333E-03
+9.1419760479E-02,+1.406250E-01
+9.1919760479E-02,+4.458334E-02
+9.2419760479E-02,-1.058333E-01
+9.2919760479E-02,-5.625000E-02
+9.3419760479E-02,-4.125000E-02
+9.3919760479E-02,+4.000000E-02
+9.4419760479E-02,+1.658333E-01
+9.4919760479E-02,-4.312500E-02
+9.5419760479E-02,-8.666667E-02
+9.5919760479E-02,-5.062500E-02
+9.6419760479E-02,-2.520833E-02
+9.6919760479E-02,+9.291667E-02
+9.7419760479E-02,+1.222917E-01
+9.7919760479E-02,-9.395833E-02
+9.8419760479E-02,-6.583334E-02
+9.8919760479E-02,-5.125000E-02
+9.9419760479E-02,+4.791667E-03
+9.9919760479E-02,+1.437500E-01
+1.0041976048E-01,+3.187500E-02
+1.0091976048E-01,-9.625001E-02
+1.0141976048E-01,-5.437500E-02
+1.0191976048E-01,-4.354167E-02
+1.0241976048E-01,+4.791667E-02
+1.0291976048E-01,+1.610417E-01
+1.0341976048E-01,-4.791667E-02
+1.0391976048E-01,-7.854167E-02
+1.0441976048E-01,-5.437500E-02
+1.0491976048E-01,-2.437500E-02
+1.0541976048E-01,+9.666667E-02
+1.0591976048E-01,+1.112500E-01
+1.0641976048E-01,-8.687500E-02
+1.0691976048E-01,-6.229167E-02
+1.0741976048E-01,-5.500000E-02
+1.0791976048E-01,+7.916667E-03
+1.0841976048E-01,+1.439583E-01
+1.0891976048E-01,+2.354167E-02
+1.0941976048E-01,-8.854167E-02
+1.0991976048E-01,-5.500000E-02
+1.1041976048E-01,-4.791667E-02
+1.1091976048E-01,+5.083333E-02
+1.1141976048E-01,+1.560417E-01
+1.1191976048E-01,-4.770834E-02
+1.1241976048E-01,-7.395834E-02
+1.1291976048E-01,-5.645834E-02
+1.1341976048E-01,-2.541667E-02
+1.1391976048E-01,+9.812500E-02
+1.1441976048E-01,+1.010417E-01
+1.1491976048E-01,-8.020834E-02
+1.1541976048E-01,-6.041667E-02
+1.1591976048E-01,-6.020834E-02
+1.1641976048E-01,+8.958333E-03
+1.1691976048E-01,+1.452083E-01
+1.1741976048E-01,+2.041667E-02
+1.1791976048E-01,-7.895833E-02
+1.1841976048E-01,-5.666667E-02
+1.1891976048E-01,-5.000000E-02
+1.1941976048E-01,+5.020833E-02
+1.1991976048E-01,+1.502083E-01
